"","elevacion","fechahora","lat_geo","lon_geo","lat_utm","lon_utm","tiempo_GPS","hora","horal","distancia"
"1",587.45,2019-10-07 17:17:48,-26.3498282433,-53.9504227694,7081976.46188505,804372.671537202,0,"17:17:48","20:17:48",NA
"2",587.58,2019-10-07 17:17:51,-26.3498258125,-53.9504208416,7081976.72677416,804372.870429639,3,"17:17:51","20:17:51",0.331246799156127
"3",587.66,2019-10-07 17:17:54,-26.3498204481,-53.9504173212,7081977.31307673,804373.236057456,3,"17:17:54","20:17:54",0.690966276123315
"4",587.65,2019-10-07 17:17:57,-26.3498174306,-53.9504161477,7081977.64477976,804373.36115904,3,"17:17:57","20:17:57",0.354509955684301
"5",587.64,2019-10-07 17:18:00,-26.3498153351,-53.9504160639,7081977.87685719,804373.375020327,3,"17:18:00","20:18:00",0.232491007050388
"6",587.63,2019-10-07 17:18:03,-26.3498144131,-53.9504162315,7081977.9794519,804373.360699505,3,"17:18:03","20:18:03",0.10358938480216
"7",587.63,2019-10-07 17:18:06,-26.3498165924,-53.9504166506,7081977.73887748,804373.313133606,3,"17:18:06","20:18:06",0.245231654320796
"8",587.62,2019-10-07 17:18:09,-26.3498206995,-53.950417405,7081977.28540823,804373.227029764,3,"17:18:09","20:18:09",0.46157148351337
"9",587.61,2019-10-07 17:18:12,-26.3498250581,-53.9504191652,7081976.80643669,804373.03982182,1,"17:18:12","20:18:12",0.514257277562748
"10",587.61,2019-10-07 17:18:13,-26.3498257287,-53.9504196681,7081976.73329175,804372.987841656,134122,"17:18:13","20:18:13",0.0897336061910051
"11",211.88,2019-10-09 06:33:35,-26.4074341301,-54.6113738883,7076984.45410534,738259.508320547,3,"06:33:35","09:33:35",66301.6970059073
"12",212.17,2019-10-09 06:33:38,-26.4074377343,-54.6113734692,7076984.05395336,738259.542730121,1,"06:33:38","09:33:38",0.401628723078726
"13",212.17,2019-10-09 06:33:39,-26.4074377343,-54.6113774087,7076984.06124615,738259.149636245,7467,"06:33:39","09:33:39",0.393161519508697
"14",538.03,2019-10-09 08:38:06,-26.349996971,-53.9488007873,7081953.92796149,804534.209452593,3,"08:38:06","11:38:06",66461.1399904395
"15",538.59,2019-10-09 08:38:09,-26.3505033217,-53.9483301435,7081896.68943585,804579.882458727,3,"08:38:09","11:38:09",73.2275378953621
"16",538.26,2019-10-09 08:38:12,-26.3506696187,-53.9484986197,7081878.65437803,804562.621378569,3,"08:38:12","11:38:12",24.9641382603157
"17",538.2,2019-10-09 08:38:15,-26.3507358357,-53.9485212509,7081871.36803617,804560.187636614,2,"08:38:15","11:38:15",7.68204904549655
"18",538.21,2019-10-09 08:38:17,-26.3506236859,-53.948483197,7081883.7093525,804564.282042556,3,"08:38:17","11:38:17",13.0027785014676
"19",538.1,2019-10-09 08:38:20,-26.3505935948,-53.9484577999,7081886.98478428,804566.897251615,3,"08:38:20","11:38:20",4.19139258047276
"20",538.06,2019-10-09 08:38:23,-26.3505718019,-53.9484172314,7081889.3045507,804571.005790681,3,"08:38:23","11:38:23",4.71819981355212
"21",537.72,2019-10-09 08:38:26,-26.3505608216,-53.9483955223,7081890.47036074,804573.202573602,3,"08:38:26","11:38:26",2.48695964045459
"22",537.59,2019-10-09 08:38:29,-26.3505618274,-53.9484067541,7081890.38541481,804572.078270034,3,"08:38:29","11:38:29",1.12750801525323
"23",537.67,2019-10-09 08:38:32,-26.3505711313,-53.9484321512,7081889.41414013,804569.517581627,2,"08:38:32","11:38:32",2.73870400666596
"24",537.64,2019-10-09 08:38:34,-26.350573143,-53.9484350011,7081889.19788788,804569.227699482,3,"08:38:34","11:38:34",0.361658254446185
"25",537.45,2019-10-09 08:38:37,-26.3505798485,-53.9484508429,7081888.4920524,804567.628068171,3,"08:38:37","11:38:37",1.74843474413881
"26",537.35,2019-10-09 08:38:40,-26.3505853806,-53.9484572131,7081887.89390024,804566.977397287,3,"08:38:40","11:38:40",0.883831772562765
"27",537.37,2019-10-09 08:38:43,-26.3505921699,-53.9484563749,7081887.13935989,804567.043296751,3,"08:38:43","11:38:43",0.757412625414926
"28",537.5,2019-10-09 08:38:46,-26.350593511,-53.9484541956,7081886.98555589,804567.257415274,3,"08:38:46","11:38:46",0.263633099767222
"29",537.36,2019-10-09 08:38:49,-26.3505976181,-53.9484577999,7081886.53882178,804566.886699002,3,"08:38:49","11:38:49",0.580518661962157
"30",537.43,2019-10-09 08:38:52,-26.3506028149,-53.9484580513,7081885.96337681,804566.847962354,3,"08:38:52","11:38:52",0.576747297303267
"31",537.45,2019-10-09 08:38:55,-26.3506155554,-53.9484720491,7081884.58423433,804565.416653858,3,"08:38:55","11:38:55",1.987631250906
"32",538.1,2019-10-09 08:38:58,-26.3506251946,-53.9484718814,7081883.51538139,804565.408118916,2,"08:38:58","11:38:58",1.06888701732924
"33",538.15,2019-10-09 08:39:00,-26.3506260328,-53.948477665,7081883.4361381,804564.828340673,3,"08:39:00","11:39:00",0.585168615947128
"34",538.11,2019-10-09 08:39:03,-26.3506260328,-53.9484779164,7081883.43673217,804564.803234589,3,"08:39:03","11:39:03",0.0251131119014709
"35",538.03,2019-10-09 08:39:06,-26.3506220095,-53.9484768268,7081883.88011988,804564.922600152,3,"08:39:06","11:39:06",0.459174042339881
"36",538.49,2019-10-09 08:39:09,-26.3506430481,-53.9484978653,7081881.59781219,804562.766407358,4,"08:39:09","11:39:09",3.13976046477869
"37",538.4,2019-10-09 08:39:13,-26.3501306623,-53.9503558818,7081942.78234752,804378.558617669,3,"08:39:13","11:39:13",194.103212609905
"38",538.56,2019-10-09 08:39:16,-26.3501336798,-53.9503684547,7081942.47756485,804377.29511038,3,"08:39:16","11:39:16",1.29974734000139
"39",538.56,2019-10-09 08:39:19,-26.3501268905,-53.9503340051,7081943.14876873,804380.753230091,3,"08:39:19","11:39:19",3.52265618396478
"40",544.37,2019-10-09 08:39:22,-26.350139631,-53.9503528643,7081941.7810875,804378.836452825,2,"08:39:22","11:39:22",2.35469467969088
"41",549.2,2019-10-09 08:39:24,-26.350176679,-53.9504628349,7081937.93420631,804367.757087742,320,"08:39:24","11:39:24",11.7282064094777
